Police_Station,population_estimate
PACALTSDORP,25523
PADDOCK,13117
PALMIETFONTEIN,34490
PAMPIERSTAT,36279
PARK ROAD,79206
PARKVIEW,38408
PAROW,60339
PARYS,10180
PATENSIE,8580
PATERSON,6467
PAUL ROUX,8098
PAULPIETERSBURG,74706
PEARSTON,5062
PEDDIE,24087
PELLA,3386
PERDEKOP,8312
PETRUS STEYN,14532
PETRUSBURG,10462
PETRUSVILLE,5610
PHALABORWA,13876
PHILADELPHIA,7310
PHILIPPI,53902
PHILIPPI EAST,56093
PHILIPPOLIS,4558
PHILIPSTOWN,3985
PHOENIX,204430
PHOKENG,122959
PHUMALANGA,16060
PHUTHADITJHABA,81194
PIENAAR,102263
PIENAARSRIVIER,3085
PIET PLESSIS,6004
PIET RETIEF,100638
PIETERMARITZBURG,20441
PIKETBERG,23735
Pilgrim Rest,2173
PINELANDS,20663
PINETOWN,92261
PLESSISLAER,260995
PLETTENBERG BAY,26924
PLOOYSBURG,1587
POFADDER,3549
POINT,25253
POLOKWANE,67557
PONGOLA,109205
PORT ALFRED,8806
PORT EDWARD,32429
PORT NOLLOTH,7106
PORT SHEPSTONE,75574
PORT ST JOHNS,72581
PORTERVILLE,15714
POSTMASBURG,32955
POTCHEFSTROOM,51891
PRESTBURY,14452
PRETORIA CENTRAL,53175
PRETORIA MOOT,30542
PRETORIA NORTH,31176
PRETORIA WEST,98787
PRIESKA,15942
PRIMROSE,66043
PRINCE ALBERT,10020
PRINCE ALFRED HAMLET,37988
PROTEA GLEN,127729
PUDIMOE,36424
PUNZANA,15999
PUTFONTEIN,43121
QUEENSTOWN,35882
QUMBU,43206
RABIE RIDGE,121139
RANDBURG,46537
RANDFONTEIN,149530
Ranking Pass,2680
RATANDA,51670
RAVENSMEAD,61418
RAWSONVILLE,13072
REDDERSBURG,5582
REDELINGHUYS,2421
REIGERPARK,57947
REITZ,25484
REIVILO,7214
RHODES,2023
RICHARDS BAY,76031
RICHMOND(C),6736
RICHMOND-KZN,46623
RIEBEECK EAST,1329
RIEBEEK WEST,16125
RIETBRON,1628
RIETFONTEIN,5305
RIETGAT,219571
RIETVLEI,5633
RITAVI,91987
RIVERSDALE,20243
RIVIERSONDEREND,7859
ROADSIDE,1124
ROBERTSON,35713
ROEDTAN,2823
RONDEBOSCH,14759
ROODEPAN,36166
ROODEPOORT,180157
ROOIBERG,5712
ROOSSENEKAL,7787
ROSEBANK,8308
ROSEDALE,42946
ROSENDAL,5847
ROSSOUW,737
ROUXVILLE,8302
RUST DE WINTER,3349
RUSTENBURG,105473
SAAMBOUBRUG,1302
SABIE,19475
SAKHILE,27195
SALDANHA,28968
SANDRINGHAM,43535
SANDTON,106484
SANNIESHOF,16213
SARON,10032
SASELAMANI,63418
SASOLBURG,31895
SAWOTI,32534
SCHOEMANSDAL,90758
SCHWEIZER-RENEKE,18788
SCOTTBURGH,30835
SEA POINT,24808
SEAFIELD,1539
SEBAYENG,44732
SEBENZA,30688
SEBOKENG,164439
SECUNDA,39867
SEKGOSESE,46031
SEKHUKHUNE,120641
SELOSESHA,66835
SENEKAL,29094
SENWABARWANA,93888
SESHEGO,192562
SETLAGOLE,27234
SEVEN FOUNTAINS,3331
SEVERN,4088
SEYMOUR,6033
SHARPEVILLE,64979
SHEEPMOOR,8494
SILOAM,61821
SILVERTON,102186
Simon Town,13043
SINOVILLE,68869
SIYABUSWA,114828
SKUKUZA,5313
SMITHFIELD,6168
SOMERSET EAST,20832
SOMERSET WEST,57098
SOPHIA TOWN,80296
SOSHANGUVE,96466
SOUTHPORT,21715
SOUTPAN,4208
SPRINGBOK,14375
SPRINGFONTEIN,4244
SPRINGS,113682
ST FAITHS,20731
ST FRANCIS BAY,6101
ST HELENA BAY,11319
STANDERTON,69594
STANFORD,6084
STEENBERG,61726
STEINKOPF,8383
STELLA,9323
STELLENBOSCH,53347
STERKSPRUIT,59303
STERKSTROOM,8626
STEUNMEKAAR,1213
STEVE VUKILE TSHWETE,17898
STEYNSBURG,8626
STEYNSRUS,10873
STEYTLERVILLE,5146
STILFONTEIN,17726
STILL BAY,8189
STORMS RIVER,9591
STRAND,51600
STRANDFONTEIN,28257
STRUISBAAI,4512
STRYDENBURG,3429
STUTTERHEIM,31037
SULENKAMA,29055
SUN CITY,69055
SUNDRA,18919
SUNDUMBILI,74738
SUNNYSIDE,82835
SUNRISE,16376
SUTHERLAND,3969
SUURBRAAK,2945
SWARTBERG,3299
SWARTKOPS,27936
SWARTRUGGENS,18210
SWELLENDAM,24159
SYDENHAM,74224
TABASE,7267
TABLE BAY HARBOUR,2390
TABLE VIEW,73604
TAMARA,18762
TARKASTAD,8082
TARLTON,15110
TAUNG,104545
TAYLORS HALT,96499
TEMBA,240228
TEMBISA,276367
TEMBISA SOUTH,112293
THABA-NCHU,15667
THABAZIMBI,44114
THABONG,113471
THE BARRAGE,10050
THEMBALETHU,43892
THEUNISSEN,30360
Thina Falls,20110
THOHOYANDOU,299410
THOMAS RIVER,665
THORNHILL,7759
THORNHILL CISKEI,6088
THORNVILLE,15232
TIERPOORT,2334
TINMYNE,46263
TLHABANE,84905
TOKOZA,97476
TOLWE,2992
TOM BURKE,11850
TONGA,236740
TONGAAT,71217
TOUWS RIVER,8762
TOWN HILL,18106
TRICHARDT,5981
TROMPSBURG,6299
TSAKANE,210375
TSEKI,65178
TSESENG,30874
TSHAMUTUMBU,21486
TSHAULU,43484
TSHIDILAMOLOMO,14066
TSHILWAVHUSIKU,67637
TSHITALE,41106
TSINENG,22075
TSOLO,110558
TSOMO,49580
TUBATSE,92273
TUINPLAAS,1993
TULBAGH,18759
TUMAHOLE,39405
TWEEFONTEIN,61485
TWEELING,7415
TWEESPRUIT,8183
TYEFU,6394
TYLDEN,1927
TZANEEN,68829
UGIE,14069
UITENHAGE,41395
ULUNDI,65077
UMBILO,40747
UMBUMBULU,47650
UMHLALI,74729
UMKOMAAS,68069
UMLAZI,294451
UMSUNDUZI,42419
UMZIMKHULU,61388
UMZINTO,42757
UNIONDALE,13939
UPINGTON,32598
UPPER TUGELA,28434
UTRECHT,22741
VAAL MARINA,2003
VAALBANK,53459
VAALWATER,20406
VAL,4474
VAN REENEN,3278
VAN STADENSRUS,2440
VAN ZYLSRUS,2860
VANDERBIJLPARK,137062
VANDERKLOOF,1394
VANRHYNSDORP,7667
VANWYKSVLEI,2280
VENTERSBURG,12880
VENTERSDORP,54351
VENTERSTAD,6257
VEREENIGING,83720
VERENA,23069
VERKEERDEVLEI,3030
VERKYKERSKOP,3015
VERULAM,112029
VICTORIA WEST,9882
VIERFONTEIN,9264
VILJOENSDRIF,6121
VILJOENSKROON,35027
VILLA NORA,34532
VILLIERIA,54501
VILLIERS,18153
VILLIERSDORP,23115
VIOOLSDRIF,1250
VIRGINIA,26443
VOLKSRUST,28373
VORSTERSHOOP,730
VOSBURG,1764
VOSLOORUS,165755
VOSMAN,202606
VREDE,20224
VREDEFORT,15614
VREDENBURG,41201
VREDENDAL,25740
VRYBURG,32658
VRYHEID,63896
VULINDLELA,63468
VUWANI,82844
WAKKERSTROOM,10171
WALMER,71793
WANDA,980
WARDEN,13892
WARRENTON,23032
WARTBURG,7498
WASBANK,4886
WATERPOORT,3868
WATERVAL,86176
WATERVAL BOVEN,7726
WEDELA,25325
WEENEN,30528
WELBEKEND,18722
WELKOM,66047
WELLINGTON,53616
WEMBEZI,32197
WENTWORTH,45751
WEPENER,10444
WESSELSBRON,30462
WESTENBURG,92863
WESTONARIA,34421
WESTVILLE,31137
WHITTLESEA,40068
WIERDABRUG,111353
WILLISTON,4324
WILLOWMORE,9784
WILLOWVALE,83330
WINBURG,15681
WINDSORTON,7775
WINTERTON,15509
WITBANK,106959
WITDRAAI,1502
WITPOORT,26800
WITRIVIER,29524
WOLMARANSSTAD,44694
WOLSELEY,16659
WOLWEFONTEIN,1322
WONDERBOOMPOORT,20303
WOODSTOCK,27551
WORCESTER,114203
WRENCHVILLE,7317
WYNBERG,25218
YEOVILLE,42862
ZAAIPLAAS,14817
ZAMDELA,84212
ZAMUXOLO,11643
ZASTRON,17429
ZEBEDIELA,30823
ZEERUST,23682
ZELE,28214
ZONKIZIZWE,80911
ZWELITSHA,38471
